source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
Ciliated,SPP1+ immunosuppressive,LAMB3,CD44,0.00438504887303692,0,0.00659482112956142,0,Both
Ciliated,IFN-stimulated,LAMC2,CD44,0.0612952772330985,0,0.0463064419403065,0,Both
Ciliated,M2-SIGLEC8+,LAMC2,CD44,0.0423865896220887,0,0.0431412553506736,0,Both
Ciliated,MRC1+ M2-like,LAMC2,CD44,0.0690814913693817,0,0.0361071902003754,0,Both
Ciliated,Resident M2,LAMC2,CD44,0.0709164716960943,0,0.0501703094272431,0,Both
Ciliated,SPP1+ immunosuppressive,LAMC2,CD44,0.0265803786089252,0,0.0320221925447768,0,Both
IFN-stimulated,Ciliated,FN1,SDC4,0.065401968317558,0,0.0931049793071532,0,Both
MRC1+ M2-like,Ciliated,FN1,SDC4,0.146800315234262,0,0.0981759086934894,0,Both
MRC1+ M2-like,Ciliated,THBS1,SDC4,0.0051944125621851,0,0.0176315999900972,0,Both
MRC1+ M2-like,Ciliated,THBS1,CD47,0.00274558729102722,0,0.00808893313345178,0,Both
Ciliated,IFN-stimulated,PGE2-PTGES3,PTGER4,0.0331518663782429,0,0.0120715056973934,0,Both
Ciliated,M2-SIGLEC8+,PGE2-PTGES3,PTGER4,0.0384454063911152,0,0.0485388778154582,0,Both
Ciliated,MRC1+ M2-like,PGE2-PTGES3,PTGER4,0.0506702559540094,0,0.0313806768872055,0,Both
Ciliated,Resident M2,PGE2-PTGES3,PTGER4,0.0409750652923399,0,0.0127017948197546,0,Both
Ciliated,SPP1+ immunosuppressive,PGE2-PTGES3,PTGER4,0.0475946614826552,0,0.0484509696561271,0,Both
Ciliated,M2-SIGLEC8+,DHEAS-SULT2B,PPARA,0.000624905979058117,0,0.000469986119294267,0,Both
Ciliated,MRC1+ M2-like,DHEAS-SULT2B,PPARA,0.000526372518618108,0,0.000410771289870729,0,Both
Ciliated,Resident M2,DHEAS-SULT2B,PPARA,0.000645678522391809,0,0.00052601005564173,0,Both
Ciliated,SPP1+ immunosuppressive,DHEAS-SULT2B,PPARA,0.000263822849234459,0,0.000486854998317869,0,Both
Ciliated,IFN-stimulated,DHEAS-SULT2B,PPARD,0.00103668533044411,0,0.000654315408575649,0,Both
Ciliated,M2-SIGLEC8+,DHEAS-SULT2B,PPARD,0.00091547657795302,0,0.000754631052407672,0,Both
Ciliated,MRC1+ M2-like,DHEAS-SULT2B,PPARD,0.00160734272595091,0,0.000467811135118167,0,Both
Ciliated,M2-SIGLEC8+,DHEAS-SULT2B,PPARG,0.000624905979058117,0,0.00047855439051251,0,Both
Ciliated,MRC1+ M2-like,DHEAS-SULT2B,PPARG,0.00628823074824634,0,0.00243934291500656,0,Both
Ciliated,IFN-stimulated,APP,CD74,0.262349692401893,0,0.230627300212703,0,Both
Ciliated,M2-SIGLEC8+,APP,CD74,0.268042556304954,0,0.236408755166788,0,Both
Ciliated,MRC1+ M2-like,APP,CD74,0.260801482514953,0,0.21947232783878,0,Both
Ciliated,Resident M2,APP,CD74,0.262639603037153,0,0.220723980289411,0,Both
Ciliated,SPP1+ immunosuppressive,APP,CD74,0.277560108589411,0,0.234022912571892,0,Both
Ciliated,IFN-stimulated,CD99,PILRA,0.0381695855065959,0,0.0280616977442395,0,Both
Ciliated,M2-SIGLEC8+,CD99,PILRA,0.034540938348928,0,0.0264889216026173,0,Both
Ciliated,MRC1+ M2-like,CD99,PILRA,0.0350760721244874,0,0.0172081017494479,0,Both
Ciliated,Resident M2,CD99,PILRA,0.0303795595301943,0,0.0301608314943629,0,Both
Ciliated,MRC1+ M2-like,CD99,CD99L2,0.00421452641417748,0,0.00348580612919102,0,Both
M2-SIGLEC8+,Ciliated,CDH1,CDH1,0.0132199378068906,0,0.0160813569134472,0,Both
MRC1+ M2-like,Ciliated,CDH1,CDH1,0.0155436384024741,0,0.00659861020792339,0,Both
Ciliated,M2-SIGLEC8+,CDH1,CDH1,0.0132199378068906,0,0.0160813569134472,0,Both
Ciliated,MRC1+ M2-like,CDH1,CDH1,0.0155436384024741,0,0.00659861020792339,0,Both
IFN-stimulated,Ciliated,CDH1,ITGA2_ITGB1,0.0014296834348291,0,0.00140008442236198,0,Both
M2-SIGLEC8+,Ciliated,CDH1,ITGA2_ITGB1,0.00543223819987678,0,0.00857464489581705,0,Both
MRC1+ M2-like,Ciliated,CDH1,ITGA2_ITGB1,0.00639594837962105,0,0.00350264788793061,0,Both
Resident M2,Ciliated,CDH1,ITGA2_ITGB1,0.00130700027777065,0,0.00520458728997157,0,Both
SPP1+ immunosuppressive,Ciliated,CDH1,ITGA2_ITGB1,0.00172082371340531,0,0.00113496907541203,0,Both
M2-SIGLEC8+,Ciliated,DSC2,DSG2,0.00870267292307951,0,0.00374535620970636,0,Both
MRC1+ M2-like,Ciliated,DSC2,DSG2,0.00578407528399427,0,0.00286375260780127,0,Both
Resident M2,Ciliated,DSC2,DSG2,0.0129504977425193,0,0.00158261259183046,0,Both
SPP1+ immunosuppressive,Ciliated,DSC2,DSG2,0.00981792058329949,0,0.00146629235859969,0,Both
Ciliated,IFN-stimulated,F11R,ITGAL_ITGB2,0.0496656599006563,0,0.0385651657263624,0,Both
Ciliated,M2-SIGLEC8+,F11R,ITGAL_ITGB2,0.0209831118223782,0,0.0145821361919798,0,Both
Ciliated,MRC1+ M2-like,F11R,ITGAL_ITGB2,0.0372415873791143,0,0.0293604661383834,0,Both
Ciliated,Resident M2,F11R,ITGAL_ITGB2,0.0208901103936886,0,0.0185438633796579,0,Both
M2-SIGLEC8+,Ciliated,F11R,F11R,0.0169112246480825,0,0.0173609336028717,0,Both
