source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
IFN-stimulated,CD8.TEX,NECTIN2,CD96,0.6,0.67811735618438,0.952056561096515,3,9,1
CD8.TPEX,IFN-stimulated,HLA-C,LILRB2,0.1,4.72644109522653,3.31568695939599,3,9,1
CD8.TEX,Resident M2,CCL5,CCR1,0.183333333333333,7.53108279206354,3.82496105915204,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-B,CD8A,0.6,10.0622938583298,9.75616201761032,3,9,1
IFN-stimulated,CD8.TEX,LYZ,ITGAL,0.727272727272727,3.90206422303183,3.93856762062991,3,9,1
Resident M2,CD8.TEX,HLA-DRB1,LAG3,0.833333333333333,2.66216833681917,3.31271702652175,3,7,1
Regulatory,CD8.TEX,HLA-DQA1,LAG3,0.666666666666667,1.87008679670475,1.63798462405264,3,7,1
MRC1+ M2-like,CD8.TPEX,LGALS1,CD69,0.727272727272727,2.49903268360868,3.69438906690461,3,9,1
CD8.TEX,Regulatory,CCL4,CCR1,0.383333333333333,2.21152401645933,3.47067682171784,3,7,1
CD8.TPEX,IFN-stimulated,IFNG,IFNGR1_IFNGR2,0.64332106041747,1.27220377661234,1.23169040456339,3,9,1
IFN-stimulated,CD8.TEX,HLA-E,CD8A,0.727272727272727,8.62860384213806,8.48407827737733,3,9,1
SPP1+ immunosuppressive,CD8.TEX,CD86,CTLA4,0.383333333333333,1.0864892574434,1.67741723025695,3,7,1
CD8.TPEX,SPP1+ immunosuppressive,CCL5,CCR1,0.516666666666667,4.0958503498939,2.2555004010767,3,7,1
IFN-stimulated,CD8.TEX,S100A8,CD69,0.481818181818182,1.76024084809881,2.62331186506537,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-B,CD8A,0.266666666666667,10.5548093380584,8.95832246662593,3,7,1
IFN-stimulated,CD8.TEX,ICAM1,SPN,0.6,1.31553780010818,1.13713625317594,3,9,1
IFN-stimulated,CD8.TEX,HLA-DRB1,LAG3,0.863636363636364,2.86046051975934,3.46659736700599,3,9,1
CD8.TPEX,Resident M2,CCL5,ACKR1,1,0,0,3,7,1
Regulatory,CD8.TPEX,LGALS3,LAG3,0.488808409149915,0,1.45535790241576,3,7,1
Ciliated,CD8.TEX,PCSK1N,GPR171,0.652782845261911,0.328177692683498,0.376073029592181,3,5,1
CD8.TEX,IFN-stimulated,HLA-A,LILRB2,0.209090909090909,4.57199280766649,3.73386947058887,3,9,1
CD8.TEX,Ciliated,GZMA,PARD3,0.571428571428571,1.10365725109886,0.813396759455635,3,5,1
Regulatory,CD8.TEX,HLA-DRB5,LAG3,0.644461295362125,0.53443691040008,0.719996752027128,3,7,1
CD8.TEX,MRC1+ M2-like,IFNG,IFNGR1_IFNGR2,0.6,0.965520319960012,0.800957351857653,3,9,1
Ciliated,CD8.TEX,LAMC2,CD44,0.785714285714286,1.25105193445548,1.08407968265797,3,5,1
CD8.TPEX,Resident M2,COL6A3,CD44,0.465758969401827,0,0.105711593724887,3,7,1
Regulatory,CD8.TPEX,HLA-B,CD8A,0.516666666666667,9.85902367755438,9.08674697794586,3,7,1
IFN-stimulated,CD8.TPEX,HLA-DQA1,LAG3,0.456376199295998,0,3.93722907126838,3,9,1
Regulatory,CD8.TPEX,HBEGF,CD82,0.817520602641764,1.59499329687623,0.836962163749914,3,7,1
CD8.TEX,IFN-stimulated,HLA-B,LILRB2,0.372727272727273,4.35002877408197,3.28062811137263,3,9,1
CD8.TPEX,MRC1+ M2-like,COL6A3,CD44,0.429829306052495,0,0.127764954580464,3,9,1
CD8.TPEX,IFN-stimulated,HLA-B,LILRB2,0.372727272727273,4.28000775523141,3.27769546943793,3,9,1
CD8.TPEX,Regulatory,IFNG,IFNGR1_IFNGR2,0.137279819351992,1.1429088654978,1.77353311040474,3,7,1
Resident M2,CD8.TPEX,COPA,NTRK1,0.515304698967525,0,0,3,7,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DRB1,LAG3,0.644461295362125,0,3.02664255533959,3,7,1
MRC1+ M2-like,CD8.TPEX,S100A8,CD69,0.926211743590331,1.09598037466088,0.99350490956582,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,F13A1,ITGB1,0.360475232200422,0,1.95333027703448,3,7,1
CD8.TEX,Ciliated,CXCL13,GRM7,0.633737059218191,0.0443574144228701,0,3,5,1
IFN-stimulated,CD8.TEX,ICAM1,IL2RG,0.727272727272727,2.64568112832224,2.56607552893939,3,9,1
CD8.TEX,IFN-stimulated,B2M,LILRB2,0.281818181818182,5.51319742060516,4.21967539407789,3,9,1
IFN-stimulated,CD8.TPEX,ICAM1,IL2RG,0.6,2.61541437841332,2.53934470912197,3,9,1
Resident M2,CD8.TEX,B2M,CD3G,0.666666666666667,9.40877498766065,9.19130770516861,3,7,1
IFN-stimulated,CD8.TPEX,NECTIN2,CD96,0.481818181818182,1.02899779839753,0.797793661490891,3,9,1
Ciliated,CD8.TPEX,LAMC2,CD44,0.785714285714286,1.19844228458272,1.34369442127217,3,5,1
CD8.TEX,IFN-stimulated,HLA-C,LILRB2,0.1,4.63723022787215,3.38734246144082,3,9,1
Resident M2,CD8.TPEX,HLA-DPB1,LAG3,0.253007497819893,0,3.67876461654449,3,7,1
Resident M2,CD8.TPEX,LYZ,ITGAL,0.0166666666666667,4.81437259506205,2.36174692725505,3,7,1
CD8.TPEX,IFN-stimulated,HLA-A,LILRB1,0.281818181818182,5.39074667658695,3.65998852746274,3,9,1
Regulatory,CD8.TEX,CCL13,CCR5,0.0286557342167008,0.440957208987606,0,3,7,1
CD8.TEX,IFN-stimulated,CCL4,CCR1,1,2.99070312653324,3.02451587822634,3,9,1
IFN-stimulated,CD8.TEX,B2M,KLRD1,0.727272727272727,3.64395011929186,5.53264820435911,3,9,1
Ciliated,CD8.TEX,TFF3,CXCR4,1,0.957609269925277,1.03431146237746,3,5,1
CD8.TPEX,SPP1+ immunosuppressive,SPN,SIGLEC1,0.833333333333333,0.938053049546379,0.706928023374041,3,7,1
Ciliated,CD8.TEX,HLA-A,CD8A,0.785714285714286,9.67103369381506,8.55979314940132,3,5,1
IFN-stimulated,CD8.TEX,CD86,CTLA4,0.1,0.763048046318812,1.20334706026176,3,9,1
Ciliated,CD8.TEX,HLA-C,CD8A,0.571428571428571,9.81030131870878,9.56771005102529,3,5,1
SPP1+ immunosuppressive,CD8.TPEX,CD14,ITGA4,0.423622490369026,1.46763080187992,1.0382493515293,3,7,1
IFN-stimulated,CD8.TEX,CXCL10,CXCR3,0.481818181818182,0.923698715908599,0.800897887216846,3,9,1
IFN-stimulated,CD8.TPEX,S100A8,CD69,0.372727272727273,1.66256927152108,3.0274294329614,3,9,1
CD8.TEX,SPP1+ immunosuppressive,CCL4,CCR1,0.516666666666667,3.62958444333644,2.18547930480424,3,7,1
CD8.TPEX,IFN-stimulated,HLA-C,LILRB1,0.372727272727273,4.77573526288552,3.47584031496298,3,9,1
Resident M2,CD8.TEX,CD86,CTLA4,0.183333333333333,0.942928816839293,1.77549340172933,3,7,1
Resident M2,CD8.TPEX,HLA-DRB1,LAG3,0.492810896842702,0,3.49710326866703,3,7,1
MRC1+ M2-like,CD8.TPEX,FN1,ITGA4_ITGB7,0.456376199295998,0.65296027363816,0.537125224925401,3,9,1
