source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.NaiveLike,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00165014501240944,0.01,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00434585505524656,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00244654081514557,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocyte-derived,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00365716922342621,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.0037074743234471,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00205013977643009,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00365686318150539,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00152220725129092,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Stress-response,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00271709198908604,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.NaiveLike,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00118020463889155,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.TPEX,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.000249736190808489,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00311077164414021,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00175019462260141,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocyte-derived,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00261715217772639,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00265295287652192,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00146628982221711,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00261693293868427,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00108866219869423,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Stress-response,Monocyte-derived,TGFB1,ACVR1B_TGFbR2,0.00194425736360372,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.NaiveLike,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00162628931870026,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
CD8.TPEX,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.000344213478395364,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.004284237050516,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00241135959556357,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Monocyte-derived,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00360500590195609,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
