source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Resident M2,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.000940111446966931,0.01,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,M2-SIGLEC8+,TGFB1,ACVR1B_TGFbR2,0.00616603936429155,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00296341419084309,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Lipid-associated,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00325584936878957,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
M2-SIGLEC8+,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.000796320061118564,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
MRC1+ M2-like,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00219824463639529,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Regulatory,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00466937588039581,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Resident M2,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.000615989142109045,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
SPP1+ immunosuppressive,MRC1+ M2-like,TGFB1,ACVR1B_TGFbR2,0.00404486267429738,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
IFN-stimulated,Regulatory,TGFB1,ACVR1B_TGFbR2,0.00191682290772145,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
