source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
SPP1+ immunosuppressive,Lipid-associated,TOR2A,ATP5F1B,1,54904,0.750128953986402,42662,0.00320172282953176,56962,-0.295377981922564,65088
Regulatory,Resident M2,CALM1,PDE1B,1,47565,0.750115816364751,42667,0.00572337918418858,43374,-0.0804594042305409,56654
Monocyte-derived,Resident M2,ICAM1,SPN,1,45432.6666666667,0.750114514737381,42668,0.00304351824043775,57781,0.206689115809214,35849
M2-SIGLEC8+,M2-SIGLEC8+,YBX1,NOTCH1,1,48904,0.750104495350089,42669,0.00360283575099194,54844,0.0319535815372375,49199
normal_NMPR,Ciliated,TLN1,ITGB5,1,55701,0.750101694312523,42670,0.00288121933382088,58579,-0.328558017654555,65854
normal_NMPR,Stress-response,CALM1,INSR,1,56121.6666666667,0.750096425483202,42671,0.00274125822555687,59212,-0.36387015486413,66482
Monocyte-derived,SPP1+ immunosuppressive,FABP5,RXRA,1,53764.6666666667,0.750094350712855,42672,0.00300963048812076,57942,-0.157428031172618,60680
Regulatory,normal_NMPR,CD99,CD99L2,1,46621.3333333333,0.75008508377292,42676,0.00416289797800959,51982,0.0860068283224416,45206
SPP1+ immunosuppressive,CD8.TEX,CCL5,CCR1,1,56939.3333333333,0.750082244416273,42679,0.00162833675874682,64165,-0.251274616790359,63974
Ciliated,Monocyte-derived,ICAM1,ITGAL_ITGB2,1,56892,0.750078598581968,42680,0.00108638570045566,66441,-0.180421044779052,61555
IFN-stimulated,CD8.TPEX,MDK,NCL,1,51766.6666666667,0.750077090777153,42682,0.00271655160357798,59331,-0.0253879175593653,53287
normal_NMPR,M2-SIGLEC8+,PLTP,ABCA1,1,49881.6666666667,0.750061361266296,42684,0.000949448895024659,66995,0.154014088602686,39966
Ciliated,M2-SIGLEC8+,LRPAP1,SORL1,1,46602.6666666667,0.750059522399931,42685,0.00469385233426982,49081,0.0475174554916985,48042
Regulatory,MRC1+ M2-like,ADAM17,IL6R,1,51154.6666666667,0.750055032533982,42686,0.00386559852328505,53547,-0.0902718546325935,57231
SPP1+ immunosuppressive,SPP1+ immunosuppressive,CD55,CR1,1,46167.3333333333,0.750047049553706,42688,0.00460072506776913,49582,0.0722349394880509,46232
CD8.TEX,IFN-stimulated,ADAM10,AXL,1,47843.3333333333,0.750039193143838,42689,0.00436677893019227,50866,0.0211353376270291,49975
tumor_NMPR,tumor_NMPR,AGTRAP,RACK1,1,57501.6666666667,0.750031216747682,42691,0.00165488911042951,64060,-0.323826578976306,65754
M2-SIGLEC8+,M2-SIGLEC8+,GNAI2,CCR5,1,49120.3333333333,0.750010490108368,42694,0.0023841815155092,60948,0.10548982496014,43719
M2-SIGLEC8+,IFN-stimulated,CLEC11A,ITGB1,1,53503.3333333333,0.749998106941661,42695,0.00345850155544965,55625,-0.197711141822327,62190
SPP1+ immunosuppressive,MRC1+ M2-like,CD38,PECAM1,1,42580.6666666667,0.749997164671677,42696,0.00333106601011088,56283,0.300791675420465,28763
MRC1+ M2-like,Lipid-associated,ICAM1,IL2RA,1,46518.6666666667,0.749993945438854,42697,0.00308859290332364,57541,0.162350988715829,39318
IFN-stimulated,MRC1+ M2-like,ARF6,PLD1,1,48868.3333333333,0.749988771294127,42699,0.00499698964708578,47401,-0.077782893011533,56505
SPP1+ immunosuppressive,Regulatory,ARF1,PLD2,1,50265.3333333333,0.749988342886116,42700,0.00459333074196059,49621,-0.112863112142276,58475
Monocyte-derived,M2-SIGLEC8+,ALCAM,NRP1,1,51219.3333333333,0.749978877649386,42703,0.00325438481453231,56679,-0.0406988189127924,54276
M2-SIGLEC8+,CD8.TPEX,LAMC1,CD44,1,44003.3333333333,0.749960857231803,42705,0.00675956654463167,37681,-0.00188239414888795,51624
CD8.TPEX,Monocyte-derived,GPI,AMFR,1,53869.3333333333,0.749951796529956,42706,0.00343515724105176,55747,-0.225354292638085,63155
IFN-stimulated,M2-SIGLEC8+,S100A4,CCR5,1,47817.3333333333,0.749926649189282,42708,0.00307658891196635,57614,0.11320552716159,43130
M2-SIGLEC8+,Stress-response,CXCL10,TLR4,1,45294.6666666667,0.749919756728234,42711,0.00387021141934221,53517,0.158095205373511,39656
