source,tam_short,n_MPR,n_pCR,median_MPR,median_pCR,p_value,p_adj
IRF1,LAMs,10,11,5.93508373210354,5.2906211866546,0.251204935415462,0.35886419345066
CREB1,LAMs,10,11,6.90979188015643,6.07953741961205,0.314371902607197,0.369849297184937
RFXANK,LAMs,10,11,17.0124060587395,15.4222703393185,0.28162034044387,0.369849297184937
RFXAP,LAMs,10,11,18.1208190841983,16.5280718773049,0.314371902607197,0.369849297184937
CIITA,LAMs,10,11,14.02584354467,12.3203501837421,0.386679368103517,0.429643742337241
HSF2,LAMs,10,11,4.49084233462008,3.92663703718823,0.426167228024813,0.448597082131382
HIF1A,LAMs,10,11,8.21511223501037,7.54906001238205,0.60473015116978,0.60473015116978
RFX5,Monocyte FCN1+,9,11,13.7976429095293,11.7969907833088,0.0674446296737318,0.634516154639994
RFXANK,Monocyte FCN1+,9,11,15.6476441778783,13.1496860892976,0.095177423195999,0.634516154639994
RFXAP,Monocyte FCN1+,9,11,16.7928974371801,14.3726896505724,0.0804000952607764,0.634516154639994
CIITA,Monocyte FCN1+,9,11,12.8299902762842,11.4363171499856,0.229864253393665,0.652447011193141
HIF1A,Monocyte FCN1+,9,11,12.4166109872498,12.8670544510144,0.175410812098119,0.652447011193141
HSF2,Monocyte FCN1+,9,11,6.45767048679055,7.05747534671723,0.229864253393665,0.652447011193141
SPI1,Monocyte FCN1+,9,11,11.5969011706356,10.788141550357,0.175410812098119,0.652447011193141
STAT1,Monocyte FCN1+,9,11,8.84360480779441,9.52778278706934,0.260978804477257,0.652447011193141
IRF1,Monocyte FCN1+,9,11,7.38183442601642,7.15223704939808,0.294724934508216,0.654944298907147
STAT3,Monocyte FCN1+,9,11,9.8027806224276,9.98885146147662,0.370219099785663,0.740438199571327
REL,Monocyte FCN1+,9,11,10.8279902014448,10.3385606494284,0.502726839723744,0.914048799497716
HSF1,Monocyte FCN1+,9,11,9.37706201544411,9.76589298200131,0.551631340795428,0.919385567992379
CREB1,Monocyte FCN1+,9,11,10.2162285173002,9.98562477260602,0.602679209335556,0.927198783593163
NFKB,Monocyte FCN1+,9,11,15.8053183651758,15.857284435911,0.655632293403191,0.936617562004559
AP1,Monocyte FCN1+,9,11,11.2261908909445,11.3868780049598,0.881983805668016,0.979982006297796
DDIT3,Monocyte FCN1+,9,11,7.95272739638342,7.64625442147764,0.823755656108597,0.979982006297796
EGR1,Monocyte FCN1+,9,11,8.30879002283056,8.30406952876331,0.881983805668016,0.979982006297796
JUN,Monocyte FCN1+,9,11,16.3189328329305,15.7675454456497,0.766432483924744,0.979982006297796
RELA,Monocyte FCN1+,9,11,13.418843387179,12.9994916838477,0.940843057870922,0.990361113548339
NFKB1,Monocyte FCN1+,9,11,11.7565932508711,11.387198281432,1,1
AP1,Proliferating,7,3,7.23790810094668,8.52384632727375,1,1
CIITA,Proliferating,7,3,10.9916571355064,8.98631635994664,0.266666666666667,1
CREB1,Proliferating,7,3,8.44854391644682,9.16578950182068,0.833333333333333,1
DDIT3,Proliferating,7,3,6.10593553573776,6.00103985353117,0.666666666666667,1
EGR1,Proliferating,7,3,6.09680425031304,5.81613547181252,1,1
HIF1A,Proliferating,7,3,8.90385059504588,10.6535423599768,0.383333333333333,1
HSF1,Proliferating,7,3,7.00501502047684,7.16532987679714,1,1
HSF2,Proliferating,7,3,5.53149980986312,6.14317394533761,1,1
IRF1,Proliferating,7,3,4.50026022187204,4.80887871910242,1,1
JUN,Proliferating,7,3,11.6168753149429,11.5860299278569,1,1
NFKB,Proliferating,7,3,12.2578062527528,12.112059345242,0.833333333333333,1
NFKB1,Proliferating,7,3,8.90718422502848,9.78215671307801,0.833333333333333,1
REL,Proliferating,7,3,9.20028645926567,7.52588893110824,0.666666666666667,1
RELA,Proliferating,7,3,10.0428927344432,10.739725813041,1,1
RFX5,Proliferating,7,3,13.264654924025,10.3203935247213,0.383333333333333,1
RFXANK,Proliferating,7,3,13.5666932013066,10.7573590252979,0.266666666666667,1
RFXAP,Proliferating,7,3,14.5175103697815,11.5283741401913,0.266666666666667,1
SPI1,Proliferating,7,3,7.9674747174057,9.15625818522233,0.833333333333333,1
STAT1,Proliferating,7,3,6.18312018428172,5.05553645074756,0.383333333333333,1
STAT3,Proliferating,7,3,7.56129533973103,6.95758593258931,1,1
CREB1,Resident M2,9,11,10.5227312751939,11.1478252893596,0.130804953560372,0.736812336270541
DDIT3,Resident M2,9,11,8.50346505406612,8.82590793858055,0.294724934508216,0.736812336270541
HIF1A,Resident M2,9,11,10.479738186461,11.4109866691434,0.095177423195999,0.736812336270541
HSF1,Resident M2,9,11,9.76888482925968,11.4186297617163,0.260978804477257,0.736812336270541
HSF2,Resident M2,9,11,6.8210750010631,8.11421067652464,0.175410812098119,0.736812336270541
NFKB,Resident M2,9,11,14.8444509974738,15.6280845860338,0.229864253393665,0.736812336270541
RELA,Resident M2,9,11,12.7422881879575,13.6048426333459,0.201369373660395,0.736812336270541
STAT3,Resident M2,9,11,9.07907089872123,9.45205899207967,0.229864253393665,0.736812336270541
AP1,Resident M2,9,11,10.9237657362005,11.0955179592417,0.710300071445582,0.835647142877156
CIITA,Resident M2,9,11,14.620300370973,13.4638102704084,0.411895689449869,0.835647142877156
JUN,Resident M2,9,11,14.0843210275104,14.3513297753085,0.655632293403191,0.835647142877156
NFKB1,Resident M2,9,11,10.7714295596143,11.7451362563466,0.456096689688021,0.835647142877156
REL,Resident M2,9,11,11.3772166636945,11.2693758799036,0.710300071445582,0.835647142877156
RFX5,Resident M2,9,11,15.9360023302518,14.5406524166625,0.602679209335556,0.835647142877156
RFXANK,Resident M2,9,11,17.9222396875663,16.4539228779936,0.602679209335556,0.835647142877156
RFXAP,Resident M2,9,11,19.3327188543118,17.7024555398065,0.551631340795428,0.835647142877156
SPI1,Resident M2,9,11,11.426976049634,11.2226726688534,0.602679209335556,0.835647142877156
EGR1,Resident M2,9,11,7.61047881877633,7.86593543930089,0.766432483924744,0.851591648805271
STAT1,Resident M2,9,11,9.52903743371107,9.7991799417784,0.823755656108597,0.867111216956418
IRF1,Resident M2,9,11,7.4288566240704,7.64566980148792,0.940843057870922,0.940843057870922
CIITA,Stress-response,7,10,12.5211334133695,9.98319582522189,0.0702385849444673,0.532291238173591
HSF1,Stress-response,7,10,8.54911130306532,11.9145178530589,0.108802961744138,0.532291238173591
RFX5,Stress-response,7,10,12.701908182802,10.6769803004893,0.133072809543398,0.532291238173591
RFXANK,Stress-response,7,10,14.6261512747698,11.4517988738563,0.133072809543398,0.532291238173591
RFXAP,Stress-response,7,10,15.5397158390239,12.2289912048587,0.133072809543398,0.532291238173591
CREB1,Stress-response,7,10,8.79980724136511,9.72727707258521,0.193233237350884,0.55209496385967
IRF1,Stress-response,7,10,7.65892897522458,7.09141894953661,0.193233237350884,0.55209496385967
AP1,Stress-response,7,10,9.25799952274483,10.5726351856338,0.314788153023447,0.629576306046894
HIF1A,Stress-response,7,10,11.5621043632912,13.2551439825781,0.314788153023447,0.629576306046894
REL,Stress-response,7,10,10.2597437348308,9.72155522479654,0.314788153023447,0.629576306046894
HSF2,Stress-response,7,10,8.35249456107362,9.84651942003856,0.417317976141506,0.695529960235843
STAT3,Stress-response,7,10,8.64674354591683,9.51641453341189,0.417317976141506,0.695529960235843
NFKB1,Stress-response,7,10,9.46656105566457,11.4389524021974,0.474701768819416,0.730310413568332
DDIT3,Stress-response,7,10,7.32527450086895,7.5497959457904,0.669066227889757,0.787136738693832
EGR1,Stress-response,7,10,7.2695933502774,7.64320478423846,0.669066227889757,0.787136738693832
NFKB,Stress-response,7,10,13.3180598166536,14.5600618958618,0.669066227889757,0.787136738693832
RELA,Stress-response,7,10,11.3649274422872,12.5820234262139,0.600884409707939,0.787136738693832
STAT1,Stress-response,7,10,7.70104258244581,8.39136664763165,0.812525709584533,0.902806343982814
JUN,Stress-response,7,10,13.4310980603186,14.0956019667209,0.886774989716166,0.933447357595964
SPI1,Stress-response,7,10,10.4870981070941,10.8123292855895,0.962258329905389,0.962258329905389
