cell,final_group,scevan_group,CytoTRACE2_Score,CytoTRACE2_Potency,response,cell_type
BD_immune09_469879,normal_NMPR,normal_NMPR,0.53447857010407,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_16948,normal_NMPR,normal_NMPR,0.279685379667571,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_791625,normal_NMPR,normal_NMPR,0.147448736480612,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_178516,normal_NMPR,normal_NMPR,0.373354110438491,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_747825,normal_NMPR,normal_NMPR,0.42033989350809,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_604369,normal_NMPR,normal_NMPR,0.142964925961083,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_553833,normal_NMPR,normal_NMPR,0.403796520441533,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_58908,normal_NMPR,normal_NMPR,0.402631290758758,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_867235,normal_NMPR,normal_NMPR,0.436640457264011,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_140334,normal_NMPR,normal_NMPR,0.281576245179518,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_388870,normal_NMPR,normal_NMPR,0.568325912431892,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_869382,normal_NMPR,normal_NMPR,0.465692365957034,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_579463,normal_NMPR,normal_NMPR,0.458870352611636,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_335924,normal_NMPR,normal_NMPR,0.207952413289905,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_83089,normal_NMPR,normal_NMPR,0.311558462754204,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_50007,normal_NMPR,normal_NMPR,0.398096989879229,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_333213,normal_NMPR,normal_NMPR,0.189336128625641,Unipotent,NMPR,Tumor_epithelial
BD_immune09_396189,normal_NMPR,normal_NMPR,0.157431893885963,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_869402,normal_NMPR,normal_NMPR,0.249991704289348,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_463310,normal_NMPR,normal_NMPR,0.196683444212732,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_422255,normal_NMPR,normal_NMPR,0.524990139210592,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_464421,normal_NMPR,normal_NMPR,0.432460613217788,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_732485,normal_NMPR,normal_NMPR,0.461025483989748,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_496987,normal_NMPR,normal_NMPR,0.149598753074222,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_467822,normal_NMPR,normal_NMPR,0.562055152988686,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_843432,normal_NMPR,normal_NMPR,0.236571952865046,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_281933,normal_NMPR,normal_NMPR,0.254327183448716,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_607924,normal_NMPR,normal_NMPR,0.43988211591766,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_630471,normal_NMPR,normal_NMPR,0.276202380410837,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_879214,normal_NMPR,normal_NMPR,0.304950304427599,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_508386,normal_NMPR,normal_NMPR,0.279116914095579,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_756263,normal_NMPR,normal_NMPR,0.298659145387769,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_602774,normal_NMPR,normal_NMPR,0.152161088103653,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_571637,normal_NMPR,normal_NMPR,0.15772797611943,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_495637,normal_NMPR,normal_NMPR,0.399132617795118,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_709373,normal_NMPR,normal_NMPR,0.26007371833258,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_495078,normal_NMPR,normal_NMPR,0.452324301370944,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_653439,normal_NMPR,normal_NMPR,0.144610820568156,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_477404,normal_NMPR,normal_NMPR,0.569953987082372,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_166521,normal_NMPR,normal_NMPR,0.146504071754306,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune09_542516,normal_NMPR,normal_NMPR,0.32670700070081,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_719732,normal_NMPR,normal_NMPR,0.525684185751732,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_772386,normal_NMPR,normal_NMPR,0.2038712660737,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_184401,normal_NMPR,normal_NMPR,0.569846125012602,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_538307,normal_NMPR,normal_NMPR,0.39095677823543,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_815524,normal_NMPR,normal_NMPR,0.367351187329594,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_427821,normal_NMPR,normal_NMPR,0.45286271437104,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune09_78152,normal_NMPR,normal_NMPR,0.217059670434613,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_849714,normal_NMPR,normal_NMPR,0.23521547243252,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune09_743640,normal_NMPR,normal_NMPR,0.565606396555003,Multipotent,NMPR,Tumor_epithelial_basal
BD_immune09_669556,normal_NMPR,normal_NMPR,0.310858477311582,Unipotent,NMPR,Tumor_epithelial_basal
