tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
IFN-stimulated,HALLMARK_MYC_TARGETS_V1,0.931735317,0.174710611,0.181182565,0.980581679
IFN-stimulated,HALLMARK_ANGIOGENESIS,0.982624711,0.094681629,0.086337983,0.982624711
IFN-stimulated,HALLMARK_G2M_CHECKPOINT,0.977220368,0.057006074,0.057908181,0.982624711
LAMs,HALLMARK_COMPLEMENT,4.66E-90,0.106463023,0.140875313,2.33E-88
LAMs,HALLMARK_INTERFERON_ALPHA_RESPONSE,4.81E-80,0.085611061,0.12407014,1.20E-78
LAMs,HALLMARK_INTERFERON_GAMMA_RESPONSE,9.59E-80,0.108271704,0.141752412,1.60E-78
LAMs,HALLMARK_APOPTOSIS,4.48E-43,0.110003327,0.130609869,5.60E-42
LAMs,HALLMARK_ALLOGRAFT_REJECTION,6.56E-40,0.12371472,0.143377992,6.56E-39
LAMs,HALLMARK_UV_RESPONSE_UP,1.63E-39,0.090146989,0.111050219,1.36E-38
LAMs,HALLMARK_INFLAMMATORY_RESPONSE,4.21E-39,0.074160414,0.092790282,3.01E-38
LAMs,HALLMARK_MTORC1_SIGNALING,1.32E-35,0.108859414,0.125032154,8.26E-35
LAMs,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.91E-31,0.080349248,0.101885184,1.06E-30
LAMs,HALLMARK_FATTY_ACID_METABOLISM,4.05E-29,0.066728599,0.079449204,2.02E-28
LAMs,HALLMARK_COAGULATION,1.39E-27,0.076853132,0.090725347,6.34E-27
LAMs,HALLMARK_XENOBIOTIC_METABOLISM,1.12E-26,0.047931404,0.057524116,4.68E-26
LAMs,HALLMARK_P53_PATHWAY,1.29E-24,0.102304394,0.113445874,4.94E-24
LAMs,HALLMARK_CHOLESTEROL_HOMEOSTASIS,8.54E-24,0.098780319,0.116987757,3.05E-23
LAMs,HALLMARK_PROTEIN_SECRETION,2.76E-20,0.085837926,0.100298542,9.21E-20
LAMs,HALLMARK_PEROXISOME,2.90E-19,0.058145676,0.067659758,9.07E-19
LAMs,HALLMARK_KRAS_SIGNALING_UP,9.50E-19,0.065862808,0.07511254,2.80E-18
LAMs,HALLMARK_ADIPOGENESIS,1.07E-16,0.079778492,0.08969632,2.99E-16
LAMs,HALLMARK_IL2_STAT5_SIGNALING,2.71E-16,0.079666188,0.089328787,7.13E-16
LAMs,HALLMARK_PI3K_AKT_MTOR_SIGNALING,4.28E-15,0.099402705,0.110902689,1.07E-14
LAMs,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.70E-14,0.099257017,0.109785415,4.04E-14
LAMs,HALLMARK_APICAL_SURFACE,2.90E-14,0.032564221,0.041278265,6.60E-14
LAMs,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5.70E-14,0.132677274,0.150439294,1.24E-13
LAMs,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.75E-13,0.132841193,0.158092176,3.64E-13
LAMs,HALLMARK_ESTROGEN_RESPONSE_LATE,2.59E-13,0.046890854,0.053858521,5.18E-13
LAMs,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.44E-12,0.144615934,0.170496606,2.77E-12
LAMs,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,8.44E-11,0.072039121,0.079165773,1.56E-10
LAMs,HALLMARK_BILE_ACID_METABOLISM,1.27E-08,0.022321429,0.026581597,2.27E-08
LAMs,HALLMARK_GLYCOLYSIS,1.70E-06,0.065314398,0.070257235,2.93E-06
LAMs,HALLMARK_MITOTIC_SPINDLE,7.31E-06,0.048478105,0.044117014,1.22E-05
LAMs,HALLMARK_NOTCH_SIGNALING,9.51E-06,0.036927031,0.042066903,1.53E-05
LAMs,HALLMARK_G2M_CHECKPOINT,2.33E-05,0.05024473,0.046239728,3.65E-05
LAMs,HALLMARK_PANCREAS_BETA_CELLS,4.79E-05,0.0366171,0.040680973,7.25E-05
LAMs,HALLMARK_HYPOXIA,7.23E-05,0.110500179,0.116330832,0.000106259
LAMs,HALLMARK_APICAL_JUNCTION,0.000178595,0.062032869,0.064608789,0.000255135
LAMs,HALLMARK_ANDROGEN_RESPONSE,0.001537375,0.078825274,0.08290798,0.002135243
LAMs,HALLMARK_HEME_METABOLISM,0.004164489,0.048691497,0.050657378,0.005627688
LAMs,HALLMARK_MYC_TARGETS_V2,0.013327346,0.044012123,0.046700043,0.017535981
LAMs,HALLMARK_DNA_REPAIR,0.017321368,0.05950743,0.062021762,0.022206882
LAMs,HALLMARK_KRAS_SIGNALING_DN,0.019680251,0.011910504,0.010912826,0.024600314
LAMs,HALLMARK_TGF_BETA_SIGNALING,0.053112509,0.09471169,0.097761429,0.064771352
LAMs,HALLMARK_MYOGENESIS,0.115524881,0.039236334,0.039994641,0.13752962
LAMs,HALLMARK_SPERMATOGENESIS,0.121258959,0.010764535,0.010526588,0.14099879
