cell,CytoTRACE2_Score,CytoTRACE2_Potency,scevan_group,response,cell_type
BD_immune12_537461,0.045293869385753,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_427724,0.0461371566278583,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_476420,0.0565592930907581,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_166797,0.12953167775643,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_217177,0.141767135653211,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_880363,0.115270880229101,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_215441,0.12557292750136,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_756367,0.0163501692344871,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_142312,0.0366428390612648,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_150701,0.103496162683147,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_691047,0.137767578624625,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_192082,0.196856099430547,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_36253,0.0564089930324691,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_428633,0.168356839537318,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_828066,0.144227135663235,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_450660,0.12558544211425,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_445394,0.0564142362972358,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_520170,0.0520884300739825,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_724377,0.146951650052625,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_224724,0.111121855267935,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_141374,0.259011290922935,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_811480,0.236311410922329,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_335038,0.145325187901798,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_507372,0.104772080197831,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_656855,0.137281075048471,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_337605,0.0819726970292269,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_204120,0.115944604370287,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_411988,0.278011365997621,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_579025,0.120011185305085,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_363467,0.0956720522471832,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_522799,0.0712626977721764,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_576569,0.0191838929413297,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune12_708421,0.0128394294102059,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_279120,0.0227820885916696,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_866832,0.0545492199245068,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_853302,0.055759677286357,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_88837,0.21847712590324,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_410900,0.186740613844894,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_350321,0.116066022175909,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_685479,0.0967041062992938,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_393981,0.244178108816037,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_351796,0.147827004473772,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune12_13246,0.174687340324035,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_46830,0.0784853340527539,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_110790,0.21326142396034,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_871284,0.264491130249551,Unipotent,EMT_NMPR,NMPR,Tumor_epithelial_EMT
BD_immune12_429771,0.112278180662298,Differentiated,EMT_NMPR,NMPR,Tumor_epithelial_EMT
