source,tam_state,response,mean_activity
NFKBIB,Stress-response,pCR,3.73603306002559
REL,Classical-Mono,MPR,10.3229662746398
REL,Classical-Mono,non-MPR,10.803663647844
REL,Classical-Mono,pCR,9.63501856192705
REL,IFN-stimulated,MPR,12.1574726965138
REL,IFN-stimulated,non-MPR,14.7007981079135
REL,IFN-stimulated,pCR,12.8231704866615
REL,LAMs,MPR,7.55999846963928
REL,LAMs,non-MPR,10.0395896331764
REL,LAMs,pCR,6.92647574395329
REL,Monocyte FCN1+,MPR,11.3005953177768
REL,Monocyte FCN1+,non-MPR,11.9326741979057
REL,Monocyte FCN1+,pCR,10.8732883916122
REL,Proliferating,MPR,8.62101385440862
REL,Proliferating,non-MPR,11.0918331324149
REL,Proliferating,pCR,8.84633527780305
REL,Resident M2,MPR,11.6640446193018
REL,Resident M2,non-MPR,13.7876677138831
REL,Resident M2,pCR,12.5649614703744
REL,Stress-response,MPR,9.42889871604323
REL,Stress-response,non-MPR,11.4769476711263
REL,Stress-response,pCR,10.3937761283287
RELA,Classical-Mono,MPR,11.0060165870663
RELA,Classical-Mono,non-MPR,12.1006722069919
RELA,Classical-Mono,pCR,10.1894944449099
RELA,IFN-stimulated,MPR,13.430001384634
RELA,IFN-stimulated,non-MPR,16.3269209308074
RELA,IFN-stimulated,pCR,14.2778365528201
RELA,LAMs,MPR,8.91324434614099
RELA,LAMs,non-MPR,11.29410446733
RELA,LAMs,pCR,7.98804788161742
RELA,Monocyte FCN1+,MPR,12.9501492011141
RELA,Monocyte FCN1+,non-MPR,14.2855041956321
RELA,Monocyte FCN1+,pCR,13.0874048889235
RELA,Proliferating,MPR,10.3966049288028
RELA,Proliferating,non-MPR,13.2329887168167
RELA,Proliferating,pCR,11.1003052778821
RELA,Resident M2,MPR,12.7381848411059
RELA,Resident M2,non-MPR,16.4503081348772
RELA,Resident M2,pCR,14.7762557724635
RELA,Stress-response,MPR,11.2317142110142
RELA,Stress-response,non-MPR,13.887009715536
RELA,Stress-response,pCR,13.2616934675754
RFX5,Classical-Mono,MPR,15.6531002202479
RFX5,Classical-Mono,non-MPR,14.5726373378472
RFX5,Classical-Mono,pCR,13.983995198938
RFX5,IFN-stimulated,MPR,14.6922002359936
RFX5,IFN-stimulated,non-MPR,14.5322559734239
RFX5,IFN-stimulated,pCR,16.1301624861992
RFX5,LAMs,MPR,10.9499704647842
RFX5,LAMs,non-MPR,14.4367721157439
RFX5,LAMs,pCR,13.2631164679117
RFX5,Monocyte FCN1+,MPR,13.8529781560711
RFX5,Monocyte FCN1+,non-MPR,12.0005942218494
RFX5,Monocyte FCN1+,pCR,14.5973216672844
RFX5,Proliferating,MPR,9.85378730122754
RFX5,Proliferating,non-MPR,12.5636220082348
RFX5,Proliferating,pCR,10.1953325901229
RFX5,Resident M2,MPR,16.0348379203011
RFX5,Resident M2,non-MPR,15.257927984909
RFX5,Resident M2,pCR,16.1708424616188
