source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.EM,Resident M2,CCL3L1,CCR1,0.00227165254554808,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,Resident M2,CCL3L1,CCR1,0.0020991797265516,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,Resident M2,CCL3L1,CCR1,0.0019746848395003,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Classical Mono-derived,Resident M2,CCL3L1,CCR1,0.00294539858349438,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,Resident M2,CCL3L1,CCR1,0.00682314342629408,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Inflammatory Mono-derived,Resident M2,CCL3L1,CCR1,0.00240560456033372,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,Resident M2,CCL3L1,CCR1,0.0033421603870424,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,Resident M2,CCL3L1,CCR1,0.0117312739293409,0,CCL3L1_CCR1,CCL3L1 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Resident M2,Classical Mono-derived,CCL2,CCR2,0.00260083436685551,0,CCL2_CCR2,CCL2 - CCR2,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,CD8.MAIT,CCL20,CCR6,0.00466907680106333,0,CCL20_CCR6,CCL20 - CCR6,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.CM,CXCL9,CXCR3,0.0097741480928768,0,CXCL9_CXCR3,CXCL9 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.EM,CXCL9,CXCR3,0.0101491948143584,0,CXCL9_CXCR3,CXCL9 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.TEX,CXCL9,CXCR3,0.00950607199025165,0,CXCL9_CXCR3,CXCL9 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.CM,CXCL10,CXCR3,0.0171174872156409,0,CXCL10_CXCR3,CXCL10 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.EM,CXCL10,CXCR3,0.0177692510459867,0,CXCL10_CXCR3,CXCL10 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.TEX,CXCL10,CXCR3,0.016651391739109,0,CXCL10_CXCR3,CXCL10 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.CM,CXCL11,CXCR3,0.00466666833873286,0,CXCL11_CXCR3,CXCL11 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.EM,CXCL11,CXCR3,0.00484669368069847,0,CXCL11_CXCR3,CXCL11 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,CD8.TEX,CXCL11,CXCR3,0.00453803339030665,0,CXCL11_CXCR3,CXCL11 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,CD8.CM,CXCL13,CXCR3,0.00681785031868858,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,CD8.CM,CXCL13,CXCR3,0.00654757519587421,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,CD8.EM,CXCL13,CXCR3,0.0070802711579489,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,CD8.EM,CXCL13,CXCR3,0.0067996642972931,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,CD8.TEX,CXCL13,CXCR3,0.00663031385013231,0,CXCL13_CXCR3,CXCL13 - CXCR3,CXCL,Secreted Signaling,KEGG: hsa04060
