source,target,ligand,receptor,p_value,median_MPR,median_nonMPR,n_MPR,n_nonMPR,p_adj
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DRB1,LAG3,0.0724361562564613,2.77665377638125,4.1710223246812,9,39,0.498645325658318
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD99,PILRA,0.072072708507075,1.63681473747308,1.13456280192385,9,39,0.498645325658318
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,SPP1,CD44,0.0721145447930703,0.809347942235205,1.64730603990913,10,40,0.498645325658318
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DQA1,LAG3,0.0706283205439785,2.39574686837864,3.59219243085102,7,31,0.498645325658318
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,MRC1,PTPRC,0.0742691502917355,3.22370884672529,2.10064771848069,9,38,0.506739069689629
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DPA1,LAG3,0.0758790386709319,3.78877541259573,4.62381022011655,10,39,0.50869300121054
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,CD86,CTLA4,0.0765348743714949,0.804396134394863,1.13025370537677,9,39,0.50869300121054
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TNFSF9,HLA-DPA1,0.0761058434601948,0.99644887737261,1.74561468320902,10,39,0.50869300121054
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL5,CCR1,0.0807571706255223,0,0.860489481008803,7,37,0.527659140273539
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,LGALS1,PTPRC,0.0802182888608438,5.81844168646115,6.51459809158292,10,39,0.527659140273539
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL5,CCR1,0.081569828773165,0,1.39306902701177,7,36,0.52849023516059
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,LGALS1,CD69,0.0828913158219118,6.52613384223913,7.16876681428006,10,40,0.529182576752979
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),SIRPG,CD47,0.0837357644148683,0.272925913643875,0.535238659082002,7,36,0.529182576752979
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD47,SIRPG,0.0837357644148683,0.272925913643875,0.535238659082002,7,36,0.529182576752979
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQA1,LAG3,0.0861228353832783,2.9724414553719,3.69443258364184,9,38,0.529506522251728
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),IFNG,IFNGR1_IFNGR2,0.0861067081578068,0.957787966716943,1.12518596971434,9,39,0.529506522251728
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,ICAM1,IL2RG,0.0865341398232396,0.968082984639287,0.369632032639342,7,37,0.529506522251728
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DQA1,LAG3,0.0847497607728822,2.52534775662195,3.64496983051465,10,39,0.529506522251728
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CD274,PDCD1,0.0872620574385064,0,0.217914901900705,7,37,0.529756269961326
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,SPP1,PTGER4,0.0896365673723064,0.21507429475567,0.79569385311045,10,40,0.535734832899599
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DPB1,LAG3,0.0890008467718811,2.24093237720461,3.40035198601502,7,37,0.535734832899599
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,S100A8,CD69,0.0910924017549264,3.41020152369356,5.53400621602932,9,40,0.536123982847697
CD8.TPEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TNFSF9,HLA-DPA1,0.0905811126643497,1.12891120728549,2.12220629600868,10,40,0.536123982847697
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CD86,CTLA4,0.0919534192444989,0.904632877287147,1.42833971282375,7,37,0.537091562405369
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DPA1,LAG3,0.0933933520692677,2.32570488918071,3.70530815743779,9,39,0.54140055973989
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DPB1,LAG3,0.0965837688174677,2.94545174892717,3.73891218260321,9,39,0.54354807122823
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,LGALS3,LAG3,0.0958279304212494,1.59506607582237,2.3503846155777,9,40,0.54354807122823
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HBEGF,CD82,0.0965837688174677,0.970982153677321,1.2885202333957,9,39,0.54354807122823
Proliferating TAMs (cycling/MKI67+),CD8.TEX,C3,IFITM1,0.0946825708615281,0,0.806660866912594,7,31,0.54354807122823
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DQB1,LAG3,0.0986688318629566,1.95148785711008,2.39704270292048,9,39,0.551258473669127
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQB1,LAG3,0.102601810974607,2.67351896897106,3.08594507195938,9,38,0.564871627603702
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,S100A8,CD69,0.103303371585113,2.7464501740424,5.16009405391036,7,36,0.564871627603702
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,SECTM1,CD7,0.101869241838057,0.436925678928262,1.30812941769147,7,36,0.564871627603702
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HLA-DQA1,LAG3,0.104179566605148,1.96584482769235,2.70464410647889,9,39,0.565593844508202
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DPB1,LAG3,0.104902619668836,3.43859797027157,4.5013207132935,10,39,0.565593844508202
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL9,CXCR3,0.109839087268236,0,0.552123591924586,7,36,0.571469714630108
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,CCR1,0.109932030336014,0.63386818187948,1.11592516726158,9,39,0.571469714630108
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,SDC4,0.109690692493329,0.464742649177337,1.14980239357084,9,39,0.571469714630108
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,LGALS3,LAG3,0.111922084188257,2.05857531477016,2.53039946147557,7,36,0.571469714630108
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TNFSF9,HLA-DPA1,0.111922084188257,1.35339270308955,1.59243874364833,7,36,0.571469714630108
Proliferating TAMs (cycling/MKI67+),CD8.TPEX,HLA-DRA,LAG3,0.111380758173017,3.85425305924129,4.49359327356336,7,32,0.571469714630108
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-E,CD8A,0.110473148090381,4.20542257522422,5.31258047156138,10,39,0.571469714630108
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,FN1,ITGA4_ITGB7,0.108976457733446,0,0.543657359234686,7,36,0.571469714630108
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,LYZ,ITGAL,0.114104368461626,1.7936476062462,1.29352006774994,9,39,0.576195221478716
